locality,title,area,rent,price_per_sqft,facing,BHK,bathrooms,parking
Indiranagar,3 BHK Apartment  For Sale  In Monarch Manor In Indira Nagar,"1,445 sqft","54,448/Month","₹6,574 per sq.ft.",South-East,3 BHK,2,Bike and Car
Indiranagar,3 BHK Apartment  For Sale  In Sterling Sharada Nivas Apartments In Indira Nagar,"1,900 sqft",1.03 Lacs/Month,"₹9,474 per sq.ft.",East,3 BHK,2,Bike and Car
Indiranagar,2 BHK Flat  For Sale  In Swathi Apartments In Indiranagar,"1,230 sqft","71,643/Month","₹10,163 per sq.ft.",West,2 BHK,2,None
Indiranagar,2 BHK Flat  For Sale  In Admiralty Manor In Indiranagar,"1,165 sqft","71,643/Month","₹10,730 per sq.ft.",Don't Know,2 BHK,2,Bike and Car
Indiranagar,"2 BHK Flat  For Sale  In Raghava Residency, Indiranagar In Indiranagar","1,437 sqft","81,386/Month","₹9,882 per sq.ft.",North,2 BHK,2,Car
Indiranagar,2 BHK Flat  For Sale  In Sai Teja Solace In Kodihalli,"1,100 sqft","48,717/Month","₹7,727 per sq.ft.",North,2 BHK,2,Bike and Car
Indiranagar,3 BHK Apartment  For Sale  In Nishant Enclave In Indiranagar,"2,258 sqft",1.15 Lacs/Month,"₹8,902 per sq.ft.",East,3 BHK,4,Bike and Car
Indiranagar,3 BHK Flat  For Sale  In Benaka Apartments In Kodihalli,"1,331 sqft","48,717/Month","₹6,386 per sq.ft.",East,3 BHK,2,Bike and Car
Indiranagar,4+ BHK Flat  For Sale  In House In Indiranagar,"2,700 sqft",1.26 Lacs/Month,"₹8,148 per sq.ft.",South,4+ BHK,6,Bike and Car
Indiranagar,2 BHK Apartment  For Sale  In Team Green Wood Apartment In Indiranagar,"1,070 sqft","71,643/Month","₹11,682 per sq.ft.",South,2 BHK,2,Car
Indiranagar,2 BHK Flat  For Sale  In Sudarshan Ruby In Indiranagar,"1,250 sqft","65,911/Month","₹9,200 per sq.ft.",South,2 BHK,2,Bike and Car
Indiranagar,3 BHK Flat  For Sale  In Monarch Manor In Indira Nagar,"1,243 sqft","56,741/Month","₹7,965 per sq.ft.",South,3 BHK,2,Bike and Car
Electronic City,2 BHK Apartment  For Sale  In Costa Coral Reef In Beratena Agrahara,"1,200 sqft","29,803/Month","₹4,333 per sq.ft.",West,2 BHK,2,Car
Electronic City,2 BHK Flat  For Sale  In Nisarga Gateway In Bommasandra,900 sqft,"22,925/Month","₹4,444 per sq.ft.",West,2 BHK,2,Bike and Car
Electronic City,1 BHK Apartment  For Sale  In The Green Terraces In Maragondanahalli,720 sqft,"31,522/Month","₹7,639 per sq.ft.",Don't Know,1 BHK,1,Bike and Car
Electronic City,3 BHK Apartment  For Sale  In Snn Raj Greenbay In Electronic City,"1,395 sqft","55,595/Month","₹6,953 per sq.ft.",West,3 BHK,2,Bike and Car
Electronic City,2 BHK Apartment  For Sale  In Prestige Sunrise Park - Birchwood In Electronic City,"1,211 sqft","52,156/Month","₹7,514 per sq.ft.",East,2 BHK,2,Bike and Car
Electronic City,2 BHK Apartment  For Sale  In Shriram Summitt In Electronic City,"1,175 sqft","38,973/Month","₹5,787 per sq.ft.",East,2 BHK,2,Bike and Car
Electronic City,2 BHK Apartment  For Sale  In Shriram Summitt In Electronic City,"1,170 sqft","37,254/Month","₹5,556 per sq.ft.",East,2 BHK,2,Bike and Car
Electronic City,3 BHK Apartment  For Sale  In Gm Infinite E-city Town In Thirupalya,"1,500 sqft","41,266/Month","₹4,800 per sq.ft.",North,3 BHK,2,Bike and Car
Electronic City,3 BHK Apartment  For Sale  In Shanders Dwellington In Electronic City,"1,350 sqft","37,254/Month","₹4,815 per sq.ft.",West,3 BHK,3,Car
Electronic City,3 BHK Apartment  For Sale  In Pramuk Aqua Heights In Electronic City,"1,470 sqft","56,741/Month","₹6,735 per sq.ft.",South,3 BHK,3,Car
Electronic City,1 BHK Apartment  For Sale  In Ak Brindavan Apartment In Electronic City,540 sqft,"10,603/Month","₹3,426 per sq.ft.",North,1 BHK,1,Bike
Electronic City,2 BHK Apartment  For Sale  In Shriram Signiaa In Electronic City,"1,270 sqft","54,448/Month","₹7,480 per sq.ft.",North,2 BHK,2,Bike and Car
Electronic City,3 BHK Apartment  For Sale  In Genesis Ecosphere In Electronic City,"1,850 sqft","49,290/Month","₹4,649 per sq.ft.",Don't Know,3 BHK,2,Car
Electronic City,2 BHK Apartment  For Sale  In The Green Terraces In Maragondanahalli,990 sqft,"40,120/Month","₹7,071 per sq.ft.",East,2 BHK,2,Car
Electronic City,3 BHK Apartment  For Sale  In Aratt Firenza In Electronic City,"1,558 sqft","41,266/Month","₹4,621 per sq.ft.",North,3 BHK,3,Bike and Car
Electronic City,3 BHK Apartment  For Sale  In Concorde Manhattans Apartment In Concorde Manhattans Apartment,"1,585 sqft","60,180/Month","₹6,625 per sq.ft.",East,3 BHK,3,Bike and Car
Electronic City,3 BHK Apartment  For Sale  In Prime City In Electronic City Phase I,"1,360 sqft","29,803/Month","₹3,824 per sq.ft.",West,3 BHK,2,Bike and Car
Electronic City,2 BHK Apartment  For Sale  In Purnima Elite In Electronic City,995 sqft,"28,084/Month","₹4,925 per sq.ft.",East,2 BHK,2,Bike and Car
Electronic City,"2 BHK Flat  For Sale  In Smily Homes, Electronic City Phase I In Electronic City Phase I",965 sqft,"22,925/Month","₹4,145 per sq.ft.",West,2 BHK,2,Car
Electronic City,3 BHK Apartment  For Sale  In Alps Aurora In Bommasandra Industrial Area,"1,220 sqft","30,376/Month","₹4,344 per sq.ft.",East,3 BHK,2,Bike and Car
Electronic City,2 BHK Flat  For Sale  In Shriram Liberty Square In Electronic City,860 sqft,"33,242/Month","₹6,744 per sq.ft.",Don't Know,2 BHK,1,Bike and Car
Electronic City,3 BHK Flat  For Sale  In Shriram Liberty Square In Electronic City,"1,010 sqft","38,572/Month","₹6,663 per sq.ft.",Don't Know,3 BHK,2,Bike and Car
Electronic City,2 BHK Flat  For Sale  In Sobha Silicon Oasis In Basapura,"1,365 sqft","60,180/Month","₹7,692 per sq.ft.",North-East,2 BHK,2,Bike and Car
Electronic City,2 BHK Flat  For Sale  In Prestige Sunrise Park - Birchwood In Electronic City,"1,108 sqft","39,546/Month","₹6,227 per sq.ft.",East,2 BHK,2,Bike and Car
Electronic City,2 BHK Apartment  For Sale  In Pride Pristine In Electronic City,"1,325 sqft","37,254/Month","₹4,906 per sq.ft.",North,2 BHK,2,Bike and Car
Yalahanka,3 BHK Apartment  For Sale  In Shirke Apartment In Yelahanka Satellite Town,"1,100 sqft","34,388/Month","₹5,455 per sq.ft.",Don't Know,3 BHK,3,Bike and Car
Yalahanka,2 BHK Apartment  For Sale  In Prodaacon Rose Garden In Yelahanka,"1,100 sqft","28,657/Month","₹4,545 per sq.ft.",East,2 BHK,2,Bike and Car
Yalahanka,3 BHK Apartment  For Sale  In Khb High Rise In Yelahanka,"1,580 sqft","57,314/Month","₹6,329 per sq.ft.",West,3 BHK,2,Bike and Car
Yalahanka,1 BHK Flat  For Sale  In Khb Apartment In Yelahanka,550 sqft,"12,609/Month","₹4,000 per sq.ft.",North,1 BHK,1,Bike and Car
Yalahanka,3 BHK Apartment  For Sale  In Khb Apartment In Yelahanka,"1,275 sqft","42,985/Month","₹5,882 per sq.ft.",North,3 BHK,2,Bike and Car
Yalahanka,1 BHK Apartment  For Sale  In Khb Apartment In Yelahanka,600 sqft,"13,755/Month","₹4,000 per sq.ft.",North,1 BHK,2,Bike and Car
Yalahanka,3 BHK Apartment  For Sale  In Khb Apartment In Yelahanka,"1,080 sqft","28,657/Month","₹4,630 per sq.ft.",East,3 BHK,2,None
Yalahanka,1 BHK Apartment  For Sale  In Khb Apartment In Yelahanka,475 sqft,"11,119/Month","₹4,084 per sq.ft.",West,1 BHK,1,Bike
Yalahanka,1 BHK Apartment  For Sale  In Khb Apartment In Yelahanka,485 sqft,"11,749/Month","₹4,227 per sq.ft.",East,1 BHK,1,Bike and Car
Yalahanka,1 BHK Flat  For Sale  In Khb Apartment In Yelahanka,700 sqft,"10,889/Month","₹2,714 per sq.ft.",North-East,1 BHK,1,Bike and Car
Yalahanka,"1 BHK Flat  For Sale  In Khb Apartment, Yelahanka New Town, 5th Phase In Yelahanka New Town , 5th Phase",450 sqft,"10,316/Month","₹4,000 per sq.ft.",South,1 BHK,1,None
Yalahanka,3 BHK Flat  For Sale  In Shirdi Sai Sannidhi In Chikka Bommasandra,"1,250 sqft","39,546/Month","₹5,520 per sq.ft.",North-East,3 BHK,2,Bike and Car
Yalahanka,1 BHK Flat  For Sale  In Khb Apartment In Yelahanka,500 sqft,"11,462/Month","₹4,000 per sq.ft.",East,1 BHK,2,Bike and Car
Yalahanka,2 BHK Flat  For Sale  In Sri Nagambika Residency  In Yelahanka New Town,750 sqft,"25,791/Month","₹6,000 per sq.ft.",North-West,2 BHK,2,Bike
Yalahanka,2 BHK Flat  For Sale  In Windgates In Yelahanka,"1,500 sqft","42,985/Month","₹5,000 per sq.ft.",East,2 BHK,2,Bike and Car
Yalahanka,3 BHK Flat  For Sale  In Capstone Life Flowing Tree In Yelahanka New Town,"1,556 sqft","82,864/Month","₹9,292 per sq.ft.",Don't Know,3 BHK,3,Bike and Car
Yalahanka,2 BHK Flat  For Sale  In Capstone Life Flowing Tree In Yelahanka New Town,"1,349 sqft","72,658/Month","₹9,398 per sq.ft.",Don't Know,2 BHK,2,Bike and Car
Yalahanka,3 BHK Flat  For Sale  In Yelahanka New Tow,"1,350 sqft","54,448/Month","₹7,037 per sq.ft.",East,3 BHK,2,Car
Yalahanka,"3 BHK Flat  For Sale  In Vajram Tiara, Avalahalli In 560064","2,661 sqft",1 Lacs/Month,"₹6,576 per sq.ft.",East,3 BHK,3,Car
Yalahanka,2 BHK Flat  For Sale  In Kalpavruksha Apartments In Yelahanka New Town,"1,096 sqft","57,314/Month","₹9,124 per sq.ft.",North,2 BHK,2,Car
Yalahanka,1 BHK Flat  For Sale  In Maruti Residency In Yelhanka,468 sqft,"6,877/Month","₹2,564 per sq.ft.",South,1 BHK,1,Bike
Yalahanka,2 BHK Apartment  For Sale  In Gs Builtech Ajantha Vihar In Yelahanka New Town,"1,390 sqft","42,985/Month","₹5,396 per sq.ft.",East,2 BHK,2,Bike and Car
Yalahanka,2 BHK Apartment  For Sale  In Deccan Shelters In Yelahanka,"1,065 sqft","31,522/Month","₹5,164 per sq.ft.",North,2 BHK,2,Bike and Car
Yalahanka,4+ BHK Flat  For Sale  In Yelahanka New Town,"1,800 sqft","51,583/Month","₹5,000 per sq.ft.",East,4+ BHK,4,Bike
Yalahanka,2 BHK Flat  For Sale  In Sri Maruti Krupa In Yelahanka New Town,"1,150 sqft","54,448/Month","₹8,261 per sq.ft.",North-East,2 BHK,2,Bike and Car
Malleshwaram,4+ BHK Flat  For Sale  In Balaji Nilaya In Malleshwaram,"5,200 sqft",3.44 Lacs/Month,"₹11,538 per sq.ft.",Don't Know,4+ BHK,14,None
Malleshwaram,3 BHK Flat  For Sale  In Embassy Heritage In Malleshwara,"1,582 sqft",1.15 Lacs/Month,"₹12,642 per sq.ft.",South,3 BHK,3,Car
Malleshwaram,2 BHK Apartment  For Sale  In Sangeetha Apartments In Malleshwaram,937 sqft,"48,717/Month","₹9,072 per sq.ft.",West,2 BHK,2,Bike and Car
Malleshwaram,2 BHK Flat  For Sale  In Bindhu Ashirwad In Malleshwaram,882 sqft,"42,985/Month","₹8,503 per sq.ft.",North,2 BHK,2,Bike and Car
Malleshwaram,4 BHK Flat  For Sale  In Rakshita Apartments In Malleswaram ,"1,850 sqft","91,703/Month","₹8,649 per sq.ft.",South,4 BHK,4,Bike and Car
Malleshwaram,"3 BHK Flat  For Sale  In Mantri Greens, Malleshwaram In Malleshwaram","1,770 sqft",1.29 Lacs/Month,"₹12,712 per sq.ft.",East,3 BHK,4,Bike and Car
Malleshwaram,3 BHK Apartment  For Sale  In Mantri Greens In Malleshwaram,"1,800 sqft",1.32 Lacs/Month,"₹12,778 per sq.ft.",Don't Know,3 BHK,4,Bike and Car
Malleshwaram,3 BHK Apartment  For Sale  In Egpi Aikya In Malleshwaram West,"1,550 sqft",1.12 Lacs/Month,"₹12,581 per sq.ft.",East,3 BHK,3,Bike and Car
Malleshwaram,2 BHK Flat  For Sale  In Ramana Residency In Malleshwaram,900 sqft,"48,717/Month","₹9,444 per sq.ft.",East,2 BHK,1,Bike and Car
Malleshwaram,3 BHK Flat  For Sale  In Ramana Residency In Malleshwaram,"1,150 sqft","85,971/Month","₹13,043 per sq.ft.",West,3 BHK,2,Bike and Car
